source,target
*,fuzzybot do ignore banned
tell me a [funny] joke,fuzzybot do lang en wildcard{weight=1}
*,-redirect are you sorry
*,nope
fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000},fuzzybot do lang en wildcard{weight=1}
[*] (purr|puurr|meow|roar|mew) [*],[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do daily update 1,fuzzybot do daily update 1
fuzzybot do is a *,[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do is a [*] @yes [*],fuzzybot do first message
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do daily update 1
fuzzybot do is a *{weight=1000},fuzzybot do weather error *{weight=100}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] weathercat [*]
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do is a *
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do onboarding ask user location
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
fuzzybot do is a [*] @yes [*]{weight=1000},fuzzybot do lang en wildcard{weight=1}
(@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (purr|puurr|meow|roar|mew) [*]
fuzzybot do is a *,[*] (@goodbye) [*]{weight=1}
fuzzybot do make nice username{weight=1000},fuzzybot do onboarding ask user location
fuzzybot do lang en wildcard{weight=1},[*] (@tomorrowterms) [*] (weather|temp|temperature) [@nearplace] *{weight=5}
(great|cool|awesome|ok|okay),[*] (@goodbye) [*]{weight=1}
[*] (@goodbye) [*]{weight=1},(@sureyes)
[*] (@goodbye) [*]{weight=1},[*] (@goodbye) [*]{weight=1}
*,[*] (@goodbye) [*]{weight=1}
[*] are you [a] (man|woman|boy|girl|gurl|dude) [*],fuzzybot do lang en wildcard{weight=1}
(great|cool|awesome|ok|okay),[*] (@badwordsinsults) [*]
*,(great|cool|awesome|ok|okay)
fuzzybot do pollen high,[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
fuzzybot do lang en wildcard{weight=1},fuzzybot do weather in * with facebook buttons{weight=100}
(@no),fuzzybot do weather convert temp{weight=100}
fuzzybot do is a [*] @sure [*],fuzzybot do daily update 2 continue
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do weather convert temp{weight=100}
[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*],fuzzybot do weather convert temp{weight=100}
*,fuzzybot do onboarding complete *
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do is a [*] @cancel [*]
fuzzybot do is a *,[*] (@hello) [*]
(@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@goodbye) [*]{weight=1}
tell me a [funny] joke,fuzzybot do weather in * with facebook buttons{weight=100}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do is a *{weight=1000}
(@allweatherterms) [*] [@hereterms] [*]{weight=10},(@bye)
(what are|when) [*] (@notificationsword){weight=10},[*] (@hello) [*]
fuzzybot do weather in * with facebook buttons{weight=100},fuzzybot do weather in * with facebook buttons{weight=100}
fuzzybot do lang en wildcard{weight=1},(current time|what time is it)
(@outlook){weight=5},fuzzybot do lang en wildcard{weight=1}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do weather error *{weight=100}
hourly forecast{weight=100},hourly forecast{weight=100}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do is a [*] @yes [*]
[*] (@whatrequest) [*] (weather|temp|temperature) [@todayterms]{weight=5},[*] (@whatrequest) [*] (weather|temp|temperature) [@todayterms]{weight=5}
